type,material,action,Time_Window_High,High_Threshold,Time_Window_Low,Low_Threshold,Priority
19,minecraft:torch,0,60,10,3600,-1,5
19,minecraft:torch,1,60,20,3600,-1,5
23,minecraft:end_rod,0,3600,20,3600,1,6
23,minecraft:end_rod,1,3600,20,3600,1,6
25,minecraft:redstone_lamp,0,60,5,3600,-1,4
25,minecraft:redstone_lamp,1,60,10,3600,-1,4
26,minecraft:oak_wall_sign,0,3600,1,3600,-1,4
26,minecraft:oak_wall_sign,1,3600,2,3600,-1,4
34,minecraft:red_sand,1,3600,200,1800,1,4
34,minecraft:red_sand,0,3600,500,1800,1,4
38,minecraft:ice,1,60,40,3600,-1,4
38,minecraft:ice,0,600,30,3600,-1,4
48,minecraft:packed_ice,1,5,1,3600,-1,1
48,minecraft:packed_ice,0,5,1,3600,-1,1
49,minecraft:sea_lantern,0,3600,50,3600,1,6
49,minecraft:sea_lantern,1,3600,250,3600,1,6
66,minecraft:iron_door,0,3600,5,3600,1,6
66,minecraft:iron_door,1,3600,10,3600,1,6
104,minecraft:wither_skeleton_wall_skull,1,5,1,3600,-1,1
104,minecraft:wither_skeleton_wall_skull,0,5,1,3600,-1,1
105,minecraft:iron_trapdoor,0,900,3,3600,-1,6
105,minecraft:iron_trapdoor,1,120,5,3600,-1,6
107,minecraft:iron_block,0,3600,200,1800,1,6
107,minecraft:iron_block,1,3600,1000,1200,1,6
108,minecraft:piston,0,5,1,3600,-1,3
108,minecraft:piston,1,360,2,3600,-1,3
109,minecraft:lever,1,780,10,3600,-1,3
109,minecraft:lever,0,3600,20,3600,1,3
110,minecraft:sticky_piston,0,3600,15,3600,1,2
110,minecraft:sticky_piston,1,3600,20,3600,1,2
111,minecraft:anvil,1,600,3,3600,-1,2
111,minecraft:anvil,0,1800,3,3600,-1,2
114,minecraft:player_head,0,3600,10,3600,1,6
114,minecraft:player_head,1,3600,50,3600,1,6
117,minecraft:warped_wall_sign,0,3600,1,3600,-1,4
117,minecraft:warped_wall_sign,1,3600,2,3600,-1,4
125,minecraft:powered_rail,1,5,1,3600,-1,3
125,minecraft:powered_rail,0,5,1,3600,-1,3
126,minecraft:repeater,0,420,5,3600,-1,5
126,minecraft:repeater,1,420,10,3600,-1,5
127,minecraft:redstone_wire,1,2400,50,3600,1,5
127,minecraft:redstone_wire,0,1200,40,3600,1,5
171,minecraft:blue_ice,0,1800,30,3600,1,5
171,minecraft:blue_ice,1,1800,300,3600,-1,5
182,minecraft:oak_sign,0,5,1,3600,-1,4
182,minecraft:oak_sign,1,5,1,3600,-1,4
187,minecraft:polished_basalt,1,60,5,3600,-1,2
187,minecraft:polished_basalt,0,60,5,3600,-1,2
196,minecraft:redstone_wall_torch,0,300,3,3600,-1,5
196,minecraft:redstone_wall_torch,1,300,20,3600,-1,5
197,minecraft:redstone_torch,0,60,5,3600,-1,4
197,minecraft:redstone_torch,1,60,5,3600,-1,4
198,minecraft:redstone,1,5,1,3600,-1,1
198,minecraft:redstone,0,5,1,3600,-1,1
223,minecraft:crimson_wall_sign,0,5,1,3600,-1,4
223,minecraft:crimson_wall_sign,1,5,1,3600,-1,4
226,minecraft:dark_oak_wall_sign,0,5,1,3600,-1,4
226,minecraft:dark_oak_wall_sign,1,5,1,3600,-1,4
227,minecraft:birch_wall_sign,0,5,1,3600,-1,4
227,minecraft:birch_wall_sign,1,5,1,3600,-1,4
234,minecraft:birch_sign,0,5,1,3600,-1,4
234,minecraft:birch_sign,1,5,1,3600,-1,4
235,minecraft:acacia_sign,0,5,1,3600,-1,4
235,minecraft:acacia_sign,1,5,1,3600,-1,4
241,minecraft:redstone_block,0,300,5,3600,-1,1
241,minecraft:redstone_block,1,3600,20,3600,-1,1
243,minecraft:player_wall_head,0,3600,20,3600,1,6
243,minecraft:player_wall_head,1,3600,20,3600,1,6
252,minecraft:basalt,1,5,1,3600,-1,2
252,minecraft:basalt,0,5,1,3600,-1,2
255,minecraft:dark_oak_sign,0,5,1,3600,-1,4
255,minecraft:dark_oak_sign,1,5,1,3600,-1,4
270,minecraft:crimson_sign,0,5,1,3600,-1,4
270,minecraft:crimson_sign,1,5,1,3600,-1,4
277,minecraft:acacia_wall_sign,0,5,1,3600,-1,4
277,minecraft:acacia_wall_sign,1,5,1,3600,-1,4
292,minecraft:tripwire_hook,1,360,5,3600,-1,5
292,minecraft:tripwire_hook,0,60,3,3600,-1,5
293,minecraft:tripwire,1,60,10,3600,-1,4
293,minecraft:tripwire,0,3600,5,3600,-1,4
303,minecraft:netherite_block,1,60,50,3600,-1,4
303,minecraft:netherite_block,0,60,10,3600,-1,4
371,minecraft:shroomlight,1,60,8,3600,-1,2
371,minecraft:shroomlight,0,5,1,3600,-1,2
375,minecraft:warped_sign,0,5,1,3600,-1,4
375,minecraft:warped_sign,1,5,1,3600,-1,4
385,minecraft:daylight_detector,0,60,5,3600,-1,4
385,minecraft:daylight_detector,1,60,30,3600,-1,4
388,minecraft:red_sandstone,0,3600,200,3600,1,6
388,minecraft:red_sandstone,1,2400,150,3600,-1,6
389,minecraft:smooth_red_sandstone,1,600,400,3600,-1,4
389,minecraft:smooth_red_sandstone,0,360,20,3600,-1,4
405,minecraft:spruce_wall_sign,0,5,1,3600,-1,4
405,minecraft:spruce_wall_sign,1,5,1,3600,-1,4
472,minecraft:wall_torch,1,2400,5,3600,1,2
472,minecraft:wall_torch,0,1800,3,3600,1,2
473,minecraft:wither_skeleton_skull,0,720,3,3600,-1,2
473,minecraft:wither_skeleton_skull,1,5,1,3600,-1,2
527,minecraft:cactus,1,5,1,3600,-1,3
527,minecraft:cactus,0,5,1,3600,-1,3
536,minecraft:observer,1,120,3,3600,-1,1
536,minecraft:observer,0,120,3,3600,-1,1
552,minecraft:writable_book,1,5,1,3600,-1,1
552,minecraft:writable_book,0,5,1,3600,-1,1
554,minecraft:comparator,1,5,1,3600,-1,3
554,minecraft:comparator,0,5,1,3600,-1,3
555,minecraft:honey_block,1,60,5,3600,-1,3
555,minecraft:honey_block,0,60,5,3600,-1,3
556,minecraft:slime_block,1,60,2,3600,-1,2
556,minecraft:slime_block,0,5,1,3600,-1,2
601,minecraft:red_banner,1,5,1,3600,-1,1
601,minecraft:red_banner,0,5,1,3600,-1,1
602,minecraft:blue_banner,1,5,1,3600,-1,1
602,minecraft:blue_banner,0,5,1,3600,-1,1
603,minecraft:chipped_anvil,1,5,1,3600,-1,1
603,minecraft:chipped_anvil,0,5,1,3600,-1,1
604,minecraft:damaged_anvil,1,5,1,3600,-1,2
604,minecraft:damaged_anvil,0,5,1,3600,-1,2
644,minecraft:soul_torch,1,5,1,3600,-1,1
644,minecraft:soul_torch,0,60,2,3600,-1,1
645,minecraft:soul_wall_torch,1,60,5,3600,-1,1
645,minecraft:soul_wall_torch,0,300,2,3600,-1,1
648,minecraft:white_wall_banner,1,60,2,3600,-1,3
648,minecraft:white_wall_banner,0,5,1,3600,-1,3
654,minecraft:enchanting_table,0,5,1,3600,-1,2
654,minecraft:enchanting_table,1,5,1,3600,-1,2
656,minecraft:dropper,1,5,1,3600,-1,3
656,minecraft:dropper,0,5,1,3600,-1,3
665,minecraft:target,1,5,1,3600,-1,2
665,minecraft:target,0,5,1,3600,-1,2
687,minecraft:activator_rail,1,5,1,3600,-1,2
687,minecraft:activator_rail,0,5,1,3600,-1,2
693,minecraft:spruce_sign,0,5,1,3600,-1,4
693,minecraft:spruce_sign,1,5,1,3600,-1,4
707,minecraft:jungle_wall_sign,0,5,1,3600,-1,4
707,minecraft:jungle_wall_sign,1,5,1,3600,-1,4
714,minecraft:detector_rail,1,5,1,3600,-1,2
714,minecraft:detector_rail,0,5,1,3600,-1,2
719,minecraft:red_wall_banner,1,5,1,3600,-1,3
719,minecraft:red_wall_banner,0,5,1,3600,-1,3
736,minecraft:black_wall_banner,1,5,1,3600,-1,3
736,minecraft:black_wall_banner,0,5,1,3600,-1,3
759,minecraft:pink_wall_banner,1,5,1,3600,-1,3
759,minecraft:pink_wall_banner,0,5,1,3600,-1,3
760,minecraft:pink_banner,1,5,1,3600,-1,3
760,minecraft:pink_banner,0,5,1,3600,-1,3
773,minecraft:light_blue_banner,1,5,1,3600,-1,3
773,minecraft:light_blue_banner,0,5,1,3600,-1,3
774,minecraft:light_blue_wall_banner,1,5,1,3600,-1,3
774,minecraft:light_blue_wall_banner,0,5,1,3600,-1,3
777,minecraft:white_banner,1,5,1,3600,-1,3
777,minecraft:white_banner,0,5,1,3600,-1,3
788,minecraft:smooth_basalt,1,5,1,3600,-1,2
788,minecraft:smooth_basalt,0,5,1,3600,-1,2
832,minecraft:creeper_banner_pattern,1,5,1,3600,-1,3
832,minecraft:creeper_banner_pattern,0,5,1,3600,-1,3
864,minecraft:black_banner,1,5,1,3600,-1,3
864,minecraft:black_banner,0,5,1,3600,-1,3
893,minecraft:mojang_banner_pattern,1,5,1,3600,-1,3
893,minecraft:mojang_banner_pattern,0,5,1,3600,-1,3
894,minecraft:blue_wall_banner,1,5,1,3600,-1,3
894,minecraft:blue_wall_banner,0,5,1,3600,-1,3
916,minecraft:light_gray_banner,1,5,1,3600,-1,3
916,minecraft:light_gray_banner,0,5,1,3600,-1,3
960,minecraft:green_banner,1,5,1,3600,-1,3
960,minecraft:green_banner,0,5,1,3600,-1,3
961,minecraft:green_wall_banner,1,5,1,3600,-1,3
961,minecraft:green_wall_banner,0,5,1,3600,-1,3
968,minecraft:cyan_banner,1,5,1,3600,-1,3
968,minecraft:cyan_banner,0,5,1,3600,-1,3
970,minecraft:purple_wall_banner,1,5,1,3600,-1,3
970,minecraft:purple_wall_banner,0,5,1,3600,-1,3
976,minecraft:purple_banner,1,5,1,3600,-1,3
976,minecraft:purple_banner,0,5,1,3600,-1,3
979,minecraft:gray_banner,1,5,1,3600,-1,3
979,minecraft:gray_banner,0,5,1,3600,-1,3
981,minecraft:brown_wall_banner,1,5,1,3600,-1,3
981,minecraft:brown_wall_banner,0,5,1,3600,-1,3
982,minecraft:brown_banner,1,5,1,3600,-1,3
982,minecraft:brown_banner,0,5,1,3600,-1,3
987,minecraft:lime_wall_banner,1,5,1,3600,-1,3
987,minecraft:lime_wall_banner,0,5,1,3600,-1,3
1015,minecraft:orange_banner,1,2700,10,3600,-1,3
1015,minecraft:orange_banner,0,60,5,3600,-1,3
1042,minecraft:orange_wall_banner,1,60,5,3600,-1,3
1042,minecraft:orange_wall_banner,0,5,1,3600,-1,3
1046,minecraft:yellow_wall_banner,1,5,1,3600,-1,3
1046,minecraft:yellow_wall_banner,0,5,1,3600,-1,3
1047,minecraft:yellow_banner,1,5,1,3600,-1,3
1047,minecraft:yellow_banner,0,5,1,3600,-1,3
1062,minecraft:sculk_sensor,1,5,1,3600,-1,2
1062,minecraft:sculk_sensor,0,5,1,3600,-1,2
1084,minecraft:goat_horn,1,5,1,3600,-1,1
1084,minecraft:goat_horn,0,5,1,3600,-1,1
1096,minecraft:gray_wall_banner,1,5,1,3600,-1,3
1096,minecraft:gray_wall_banner,0,5,1,3600,-1,3
1129,minecraft:light_gray_wall_banner,1,5,1,3600,-1,3
1129,minecraft:light_gray_wall_banner,0,5,1,3600,-1,3
1145,minecraft:flower_banner_pattern,1,5,1,3600,-1,3
1145,minecraft:flower_banner_pattern,0,5,1,3600,-1,3
1167,minecraft:globe_banner_pattern,1,5,1,3600,-1,3
1167,minecraft:globe_banner_pattern,0,5,1,3600,-1,3
